text,type
@bts_twt :((((( still can't believe you tweeted in portuguese 2 times,0
i wish we could sit down next to them  with our shades on too :( https://t co/rkvc70adsl,0
not to demean yuugo and lucas but i get sad :(,0
@mouratchris_ i cant find it :(,0
@scriptedjoys sad times    ,0
shit sad af,0
no plan lecce    sad to watch this daily show with no direction     safeseptemberon  safeseptember,0
@jessegranger_ sad when someone thinks they could just walk on and become a pro kicker  @pftcommenter,0
@repjamescomer and i close too that its a sad day that you havent implored the prez to recognize the great service https://t co/a1uxnputcn,0
@dykotiafaith im so sorry :( i love you so much ,0
@brendam3645 @youtube its very scary :(,0
case in point  this is a dm from one of my friends and its really sad to me that even if its a point of having co https://t co/y11eaqkkdy,0
i had 7 people try to get me kobes    guess who doesnt have em :(,0
@hlpme2learn awww :( its okayyy lets interact more from now on^^,0
no i just realized ill have sats 2 days after the bts movie so i can't go :(,0
since theres this whole icon vs owner trend hi im sad yall look like your icon i wish i looked like him   icon vs https://t co/gpxnmdciav,0
i want to see popipa :(,0
@southern_corn because you're straight :(,0
@ii_zekxx @allythewhatnow @rxfitta @antonlnaa im not part of the community sorry :(,0
i see guys and girls move on from one boyfriend/girlfriend so fast like a week or even a month like bitch i have been single for about 4 months and i still miss my ex show me how y'all have the courage to just fucken dip and not care as much as i do :(,0
@flutterpigsnort sending a tweet in a gc and saying gas guys isnt a success you look sad,0
@revseventandart @historiccarart not me  the car   sad day after 20 years  but the time was right and an offer i c https://t co/o4ssazl0tg,0
@oliver28hl nono  familiares :( stream walls,0
sad    its infuriating  https://t co/mlixg0it5d,0
@megankoox insomnia can be horrible though :(,0
@hoohaaboutmaths @2002v12 @lbc lol  sad man  still crying,0
@yoongs_ no no no  my mind just is a mess rn im sorry :( what u said was sweet bub,0
missing my homies rn :((,0
i love subin so much i hope he is getting a good night's sleep and has a wonderful day petting puppies and eating yummy food or whatever else just fun  relaxing  good things like he deserves :(,0
@theiragenda i know   its still mean &gt :(,0
just found this picture of me and chevelle from last year look we were both smiling  :((((( https://t co/djznnh6aae,0
@ksg_reina (( sad life  https://t co/lri1a9p7qm,0
@realdonaldtrump @cnn @foxnews its sad to say  but you are not well liked    even your own sister turned against y https://t co/mweimhzyt7,0
not me being sad cuz my sister used to wake me up in the morning and now shes gone so its quite in the house ,0
@annasch81 awww :( im sorry :( you never gave up and im sure itll be better since the powerhour is over  u can still cast votesss  thank you so much for your hard workk ,0
@gopuff send help :( https://t co/oqo91kc8vx,0
@fentyeojln im so sorry for your loss :( sending all my love and if you need to talk my dms are always open ,0
all the fabric is being discontinued why :(,0
@bella___trixxx sad world if we let them continue,0
@davincikimchi thank you :((,0
@koldykat its literally so sad and its so amazing at the same time and the moments of depression and suspense and https://t co/c7arvlilhr,0
holy shit  apologizetojennie yeah no shit poor girl :( i love them,0
@squishyko0 bacon   awe wait does bacon mean you're trying to sleepsies but you cant  :((( https://t co/ahmnrp0zql,0
my heart breaks over wendy apologizing :( bb pls what are you saying sorry for pls don't do that,0
@dalora32 sameeee :(,0
so he just get off work at this hour after 2 consecutive days of filming but still took the time of his busy day to update us before he goes to sleep  no we dont deserve kang seungyoon at all :(( https://t co/kewm6dbfiu,0
why everytime we encounter officers its now a trend to  get justice    this shit getting worse and its sad cuz the https://t co/ekvcccjhv5,0
@arrestyoongi hes just good :(,0
@moonbinsuh x1 :((( why u gotta hurt me that way &lt /3,0
i just lost 2 moots  damn that shit hurted :(,0
@pandoradeeann @realdonaldtrump next time send the whole meme i could only see 1/2 of https://t co/mrpcrs35mz sad a https://t co/sl32wzt5nv,0
@karluskap a few years from now  no one will care to know their names  they will be considered a fringe group of so https://t co/eq3g41sgmp,0
one of the reasons why i miss my life in london :( https://t co/lanux4n8xx,0
so ummm     no welcome week functions   thats sad,0
@bizzydapimp cosa super mega sad  get the obstacle out the way  ,0
@itsommusic yeah its so sad and embarrassing,0
why why why did they have to ruin this friendship :(  https://t co/wrrdgqhjfj,0
@biebsobrien so happy for you  yet so sad ,0
sometimes i hate periods these mood swings i experience during this time  i don't even know when im sad and when happy ,0
@leahisgay69 @fgcpringles aanngggieeeeee     leahs being meannnn :(    ,0
@silver__violet a lot :(,0
why am i so sad ,0
@smol_catherine impressive  just don't do it again &gt :(,0
@t00n0philia no you :((((,0
so sad that all i want from life is being one of timothe chalamets whores https://t co/ovohiiud4m,0
ahahah this week's episode of knowing bros is a winner ahahahaha i couldn't stop laughing :(((((,0
@paboysstan thats horrible :( i hope she gets educated on that soon  calling someone a slur isnt nice and can hurt someone  ,0
@realspock1434 so sad ,0
@mastermoziah they was too sad it wont happen tonight doe ,0
@zanedonnan it is :(,0
@afca_lucas @chl03efc ppl think youre british    im so sorry lad :(((,0
whats with apologize to jennie huhu what happened to her :(,0
you know whats sad with cosplaying as a hobby  i just started earlier this year and corona happened  i already planned to go to animagaki-chan with my friend as ram from re-zero and krul tepes from owari no seraph :(,0
hes trying to come up with new insults for the sad wolf boy ,0
i was waiting for this  very sad  https://t co/cramb5ot2d,0
i love you dino but please dont eat me :(,0
@bossbabybitches that's sad witb double chin pro max,0
mentally recording this in my head :( https://t co/wpykyaxfr9,0
@bbcworld @mrenhachi so sad,0
seeing all my college friends posting about the first day of classes is making me    miss school      what is this https://t co/h2qklblfl6,0
the chill melodic piano in the background while ian gives this serious encouraging talk :((((,0
@advocatemahere its very sad,0
@terryfoster971 sad and honest  beautifully written ,0
@owenjamesja unfortunately too many of them think they already know everything and/or so disparage the knowledge  e https://t co/4ifnmch1y5,0
fun fact  actually rlly sad fact  i can't swim https://t co/lanabu7ig2,0
@jeffreestar its almost like they have your post notifications on and copy and paste ready to go  such a sad life to live,0
@soulrys im so glad you like it  like fr it makes me feel so happy :((,0
@dianaaluvsu me too :( now i have to shop on ebay,0
@darlingdeya drue is a pretty cool name ya know  so im with my parents on this one  the only downside is that everyone spells your name wrong :(,0
@tdougadair so very sad to hear that  doug  it is a hard road to walk  sincerest condolences to you and your family  my friend  ,0
@ajanta57105767 ugh not nice :(,0
@camelianurhudaa nooo :(( u still look the sameee,0
cw // spiders  literally did that the other day  came back to ted dead  :( https://t co/ddpy3dtrfe,0
@cpw_se @coparkswildlife sad this happened but thanks for helping out,0
51 4k tweets  0 friends  sad https://t co/jfewpcg8mq,0
@amitshah @ndrfhq sad news  how are you sir  heard about your sickness  wish you speedy recovery  get well soon ,0
@bts_twt you always post something when im sad  thank you ,0
too bad so sad big head bitch,0
@yeontaniysus you ok :(,0
congressional  candidate  doesn't know how to use pronouns   sad  https://t co/nwryjqz7jy,0
@vhopesdiary cutest :(,0
@nekota009 is that what it ended up being  :( maybe its a combination of the heat and stress  idk but i hope you feel better soon  - ,0
@larnakaregion @nicostornaritis @averofcy @diplarose @a_sinka @lefchristoforou @eevriviades @theocharoush https://t co/3ittborvoj,0
@badgernoble they're going to promote poison based woo as a covid treatment :(  with the fda stood there nodding ,0
@haodulces same :(,0
@bts_twt you too sleep well hobi  you are my hope  everytime i feel sad  you come here and cheer me up,0
chile- its not how my names spelled but like its the same diff spelling i- also pls dont call me this ill cry :( https://t co/hee3oojlaf,0
link streaming ucl dongg :(((,0
@jisoofected she deserves the world :(  apologizetojennie,0
@no_emotions_sad @lolbit_eron hello,0
@namedropper5000 it wasn't funny because us live feeders already watched her practice that line for days already  a https://t co/khkekreo59,0
@cuddiekoo are you okay  :(((,0
@alisonf123_ @colleenb123 me too :(,0
@kaychenae so sad ,0
although one of the youngest you can really see how much seungkwan supports and takes care of the other members   like encouraging jeonghan to reach the high note he was hesitant on or telling the staff at radio star to take care of soonyoung :((,0
@calxloubabes idem :((,0
@stillgray these guys' livelihood is based on fomenting outrage  they're nothing but race baiter's of al sharpton i https://t co/rwvpmqiezi,0
@wamunyinyi very sad ,0
dnp pls breathe :( ilysm,0
im feeling sick :(,0
man wtf when did i become so ugly :(,0
im going to cry :( https://t co/qp2tyiseir,0
@taetional good luck :(,0
@pady_ofurniture @walterlllambert @davidalwilliams @mattwalshblog yeah - this would be something the uk tabloids wo https://t co/a7w3ygyj0i,0
:/ this makes me really sad can yall stop saying over the top sexual things to strangers on here  like if you woul https://t co/5ozmo8lo1a,0
@rogers4texas they cut down cherry trees   :(,0
criyine we im so :(:(:( https://t co/bjsvqkjo7l,0
@refanyzshin i wish to know what does it says :((,0
it is sad that the letter is a pre-emptive strike on @rahulgandhi- senior journalist  @_sabanaqvi  on the leaders https://t co/h32qv5meus,0
listening to it looks sad and :( i be looking sad,0
@honeyballcookie im sad now,0
its so sad to have to hear my parents say   they ain't gonna stop the mail  are they  ,0
@jotarofker its going ok   i have a headache tho :(,0
@sweet__dandy it was my comment about line thickness  wasn't it  :(,0
@seokllpse doesnt she have like 2 friends irl so minus you shes like  idk sad,0
@notyourgoth :(((( good thing theirs pumpkin spice coffee creamer that's dairy free/vegan i can just make my own :),0
give me ss of block men please im sad somebody used she here pronouns and now im super dysphoric pls,0
@shakirastuff_ thats actually kind of sad and proves the new girls cant sell albums,0
@jmatthews1065 @catturd2 :( unfortunately we do   a 96 yr old aunt is in icu with it   prognosis is not good ,0
@elizabethmthc @balleralert @kellyannepolls smart daughter  sad she has a pathological liar for a mother ,0
@bobbos123 @thehill @gop also -- you're* being played  imagine not even being able to spell that simple word   why https://t co/eh5grdi750,0
@vantaejosh its updated  i already refreshed it  closed the app and opened it again many times  and now i think i'll have to reinstall the app  :(,0
@ryangrieveab @joshsehn for me  and i dont watch cbc  the network can stay but they should not be funded by the go https://t co/iinpyhhmd0,0
@born2runss @breaking911 racial jungle biden makes trump look like a genius in comparison  sad ,0
@loubunnie ya i feel like theres always a new wildfire somewhere and its definitely not helping out with this heat  theres many times where i went out and the air was just so smoky that it covers the sun but the heat is still bad  even worse since the air is as bad :(,0
@neocultyong ik :( it was one of my fave songs off the album why didn't they refill it wtffff,0
@downloadedfor1d oh that sucks :(,0
im soooooooo sad yall https://t co/qdukx9svtr,0
 it is sad  but it is necessary and i think it is more necessary to celebrate this birthday     @realmikewilbon wit https://t co/ryebed0fbc,0
kinda sad but she's figure it out  https://t co/gpbcc4jhzt,0
i hate that certain geographical places have certain emotions tied to them  like you ever come back to a city and just b sad for no reason ,0
@urbanangel2005 mine too  im getting notifications but i cant see the messages :(,0
well anyway i love him :( https://t co/wrfn1tzluq,0
@_namjinx1_ dont do that pls :(( i would be vary hurt if you do that  pls dont hurt yourself :(,0
@mahyartousi sad oul bastard,0
@disc_light @rachelheckert wow - a left handed smiley  ive not come across this before  i love it  (: (: (: (:,0
@mirrorsllve i love you :( text me if u need anything,0
@aqua_flakes its really sad bcs he wasnt in the last place but still got eliminated  the one who got last place was in a unit with the highest group score and they got exempt from elimination :((,0
@vipuksh @gurgaonpolice very very sad to knw this   really hope theres progress in nabbing the culprits and bringing them to justice   the closure for the harley riders family will take a long long time   if at all   :(,0
denver is the same :( https://t co/bhpwngo1uj,0
@shehadthewrldd im sorry :(( i love u so much ,0
@sienna_kg @faeriecalz that was my goal :( i just moved to college and really the only way to maintain and make friendships is to go out to eat and ive gained like 5 lbs :((( im rly upset  sorry to vent lol,0
@gwenstacysgf hi heres my dog and cat  i hope you feel better :-(  https://t co/ttz2y8sxpj,0
@rinzuko ikr i wanna just talk with you really late :(,0
@agameganon i am sorry  meg   :(  that happens to me   sometimes having sips of a cool drink helps me   i hope you feel better soon ,0
@averyschills sigh okay :(,0
@peekabuhh sooo sad,0
i never want the dream team to be a memory  but i know one day its gonna happen and thats making me sad ,0
@howlscherub i already consider you as a friend    even if you disrespect atsumu hahajsjaba  &gt :( https://t co/patn4dgt2m,0
@gummi_bjorn ill think about it   gonna be careful with such things   but i have it all on text in case the whitek https://t co/6wjmobfxq3,0
@dearauntcrabby you are more ignorant than those you sneeringly despise   sad for you to be honest  not a single good bone in your body ,0
today i had to say my final goodbye to a family member  because of this  i am sad   i'll open messages but i probab https://t co/pnj2khewys,0
onion jam + bacon + burger  thats what i want rn :(,0
@cezarav7 @teqxrlovesyou and how much do you make   what do you do   live on your mommys pocket   dreaming of being a  pro  will never achieve that  poor little baby aaawww :(  yeah a single dude won a turnament and   wow he made 80k and   who cares :),0
@botdelily747 pues a mi ugly dissapointed sad y switch xd,0
